



 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
10713031;"100 preguntas esenciales: la biblioteca del conocimiento";"";"1";"0";"";"";"2018-05-31 00:00:00.0";"2018-05-31 23:59:00.0";"17:00";"Presentación del libro  '100 preguntas esenciales: la biblioteca del conocimiento' , editado por Nowtilus, que trata los grandes temas del conocimiento científico, humanístico y de la cultura universal.  Sala Polivalente.  Entrada libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b3a1c9a466783610VgnVCM2000001f4a900aRCRD";"Jueves 31 de mayo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b9bddef08e93c510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"RETIRO";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
10361223;"17º Certamen de Expresión Dramática de centros para personas con discapacidad";"";"1";"1";"L,M,X,J,V";"";"2018-05-31 00:00:00.0";"2018-06-19 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ded13764f5b1c510VgnVCM2000001f4a900aRCRD";"17 º Certamen de Expresión Dramática de centros para personas con discapacidad";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=061433c6403db510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ConcursosCertamenes";"/usuario/Discapacitados";
10701059;"1ª Semifinal Tribuna Jóvenes Intérpretes";"";"1";"0";"";"";"2018-05-28 00:00:00.0";"2018-05-28 23:59:00.0";"19:00";"Antonio Cobo Peregrina, saxofón alto.  Álvaro Molina Cedena, saxofón alto.  Obras de Decruck, Boutry, Smith y Erik Larsson.  Organiza: Fundación Sax Ensemble.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7ac607bd4ba23610VgnVCM2000001f4a900aRCRD";"Conciertos en el Centro Cultural Nicolás Salmerón";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ddcc94bdeec6f510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"CHAMARTIN";"/contenido/actividades/Musica/Zarzuela";"";
10716064;"50º Aniversario de Ramón Menéndez Pidal";"";"1";"0";"";"";"2018-06-06 00:00:00.0";"2018-06-06 23:59:00.0";"19:00";"Ponente: Pablo Martínez, de la URJ.  Filólogo e historiador español, nacido el 13 de marzo de 1869 en La Coruña y fallecido el 14 de noviembre de 1968 en Madrid. Su trayectoria profesional vivió su primer éxito tras ganar el concurso de la Real Academia Española sobre la gramática del Poema del Mío Cid. Tras escribir esta obra, incidió en este tema con La España del Cid.  Otra de sus principales obras es La leyenda de los infantes de Lara, publicada en 1896. En ese año, Menéndez Pidal inició su carrera pedagógica como profesor de la Escuela de Estudios Superiores del Ateneo de Madrid, donde impartió la cátedra Orígenes de la Lengua Castellana y La Leyenda del Cid en la Edad Media. Pidal desempeñó diversos cargos en el Ateneo (vicepresidente sección Literatura y bibliotecario) y llegó a ser presidente de la Docta Casa entre 1919 y 1920.  Entrada libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d37997ccea693610VgnVCM2000001f4a900aRCRD";"Conferencias en el Centro Cultural Sanchinarro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=53d162af42103610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD";"Centro Cultural Sanchinarro (Hortaleza)";"444579";"4482598";"40.49035310157377";"-3.655261744717257";"HORTALEZA";"/contenido/actividades/ConferenciasColoquios";"";
10712608;"A punto de caer de Anna Hibernum";"";"1";"0";"";"";"2018-05-31 00:00:00.0";"2018-05-31 23:59:00.0";"19:00";"Presentación  del libro A punto de caer de la escritora novel  Anna Hibernum .  Editorial Mouse.  Entrada libre hasta compeltar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b1ca0b59c9383610VgnVCM1000001d4a900aRCRD";"Presentaciones de libros en las bibliotecas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6d469bd490e63610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)";"448214";"4476029";"40.433291625973624";"-3.6105662311927453";"SAN BLAS-CANILLEJAS";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
10715832;"Abracadabra. (2017. España)";"";"1";"0";"";"";"2018-06-22 00:00:00.0";"2018-06-22 23:59:00.0";"22:15";"Abracadabra , de Pablo Berger. Con Maribel Verdú, José Mota, Antonio de la Torre. España 2017. 88´.   No recomendada para menores de 12 años. Comedia.     8 candidaturas, incluyendo mejor actriz (Maribel Verdú) y actor (De la Torre).     Un ama de casa del barrio madrileño de Carabanchel, descubre un día que su marido parece estar poseído por un espíritu maligno. Ahí empieza una exhaustiva investigación, entre terrorífica y disparatada, para intentar recuperarlo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a1b244155693610VgnVCM2000001f4a900aRCRD";"Cine de verano. Villaverde 2018";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=099b23eb8e193610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=04605a943957e210VgnVCM2000000c205a0aRCRD";"Parque de la Amistad";"441328";"4466857";"40.348326631620154";"-3.6921658727994773";"VILLAVERDE";"/contenido/actividades/ActividadesCalleArteUrbano";"";
10708388;"Abuso sexual infantil";"";"1";"0";"";"";"2018-05-30 00:00:00.0";"2018-05-30 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42548e9e6c863610VgnVCM1000001d4a900aRCRD";"Abuso sexual infantil";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=34348e9e6c863610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"CENTRO";"/contenido/actividades/ConferenciasColoquios";"";
10716631;"Aceite de palma, clima y posconflicto";"";"1";"0";"";"";"2018-06-06 00:00:00.0";"2018-06-06 23:59:00.0";"16:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1382e4e962793610VgnVCM2000001f4a900aRCRD";"Aceite de palma, clima y posconflicto";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8472e4e962793610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"CENTRO";"/contenido/actividades/ConferenciasColoquios";"";
10691253;"Actividad especial en el Centro con motivo de la Semana de Mayores";"";"0";"0";"";"";"2018-05-29 00:00:00.0";"2018-05-29 23:59:00.0";"17:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=631c0ae8477f2610VgnVCM1000001d4a900aRCRD";"Teatro, cine y espectáculos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=783c77b76dd60610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=783f1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Maestro Alonso (Salamanca)";"443605";"4475629";"40.42938854032785";"-3.664855511110751";"SALAMANCA";"/contenido/actividades/CircoPerformanceTeatro";"";
10498703;"Actividades extraescolares en el distrito de Usera";"";"0";"1";"L,M,X,J,V,S,D";"";"2017-09-26 00:00:00.0";"2018-07-01 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cfdf259bcecbe510VgnVCM1000001d4a900aRCRD";"Actividades extraescolares en el distrito de Usera";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca0f259bcecbe510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesEscolares";"/usuario/Niños";
